Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
2016-04,"863,073.19 ","262,507.96 ","12,325.38 ","104,524.70 ","71,678.30 ","412,037.86 ","340,507.24 ","32,596,880.83 ","1,837,389.90 ","700,421.82 ","367,072.88 ","238,566.95 ","252,011.08 ","192,492.07 ","86,819.09 ","25,565,909.60 ","385,453.24 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,365,084.10 ","566,152.58 ","90,197.31 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,618,850.81 ","343,151.49 ","605,180.06 ","69,175.59 ","764,928.01 ","267,270.24 ",0.00 ,0.00 ,"321,627.23 ","1,094,171.29 ",0.00 ,0.00 ,"2,827,828.13 ","1,261,240.97 ",0.00 ,0.00 ,0.00 ,"4,022,818.05 ","888,616.06 ",0.00 ,"4,073,553.48 ","3,125,384.08 ",0.00 ,0.00 ,"1,518,038.33 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,193,578.33 ","4,715,430.49 ","2,944,531.64 ","1,294,499.43 ","265,240.14 ","125,978.50 ","352,166.33 ","560,422.96 ",0.00 ,0.00 ,0.00 ,0.00 ,"944,758.27 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"41,017.27 ","437,288.12 ","17,434.01 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,157,855.93 ",0.00 ,"441,599.75 ","1,190,397.82 ","107,953.92 ","603,859.75 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,639.47 ","355,759.13 ","55,406.70 ","191,290.70 ","506,105.09 ","398,045.13 ",0.00 ,0.00 ,"332,796.24 ","5,981,018.48 ","3,347,837.86 ","2,633,181.61 ","45,689,373.40 "
2016-05,"966,586.25 ","274,230.88 ","12,801.77 ","97,407.70 ","85,794.68 ","496,350.21 ","420,385.77 ","34,707,207.47 ","1,830,787.56 ","659,486.20 ","362,222.27 ","258,136.07 ","257,109.82 ","201,006.10 ","92,827.10 ","26,281,200.15 ","402,520.82 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,372,128.41 ","571,305.07 ","91,320.64 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,683,517.73 ","370,671.44 ","616,063.48 ","71,545.50 ","721,479.10 ","282,149.11 ",0.00 ,0.00 ,"337,423.25 ","1,081,322.17 ",0.00 ,0.00 ,"2,952,519.29 ","1,328,578.57 ",0.00 ,0.00 ,0.00 ,"4,149,599.98 ","895,402.69 ",0.00 ,"4,286,826.94 ","3,251,758.58 ",0.00 ,0.00 ,"1,557,242.76 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"6,595,220.77 ","6,134,368.48 ","3,118,276.06 ","2,576,893.53 ","254,635.46 ","108,067.61 ","352,785.69 ","556,716.49 ",0.00 ,0.00 ,0.00 ,0.00 ,"921,399.39 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"37,239.40 ","431,599.11 ","17,449.99 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,175,810.99 ",0.00 ,"441,663.88 ","1,186,149.07 ","108,967.44 ","596,718.73 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,799.16 ","339,789.83 ","56,941.19 ","180,384.32 ","473,660.25 ","367,081.01 ",0.00 ,0.00 ,"304,513.64 ","5,473,569.10 ","3,052,941.66 ","2,420,627.44 ","47,304,996.30 "
2016-06,"1,078,271.76 ","301,844.25 ","14,361.83 ","106,051.63 ","104,368.82 ","551,638.23 ","466,972.10 ","35,701,121.79 ","1,888,677.47 ","675,675.50 ","365,346.58 ","266,288.63 ","268,764.34 ","208,657.35 ","103,945.06 ","26,973,512.35 ","429,241.66 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,442,157.72 ","582,390.03 ","99,776.85 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,723,254.00 ","391,478.82 ","611,835.26 ","88,572.30 ","723,457.57 ","305,314.49 ",0.00 ,0.00 ,"341,972.31 ","1,117,140.86 ",0.00 ,0.00 ,"2,986,934.76 ","1,323,061.56 ",0.00 ,0.00 ,0.00 ,"4,197,125.11 ","923,043.87 ",0.00 ,"4,340,677.07 ","3,284,801.71 ",0.00 ,0.00 ,"1,588,550.39 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"6,838,930.96 ","6,367,083.86 ","3,221,771.89 ","2,752,105.80 ","239,395.41 ","106,879.56 ","364,962.54 ","573,412.45 ",0.00 ,0.00 ,0.00 ,0.00 ,"995,419.32 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"34,784.39 ","466,577.12 ","18,956.76 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,324,759.96 ",0.00 ,"519,971.59 ","1,371,694.03 ","120,043.15 ","700,554.85 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,487.15 ","355,175.53 ","60,581.83 ","185,861.50 ","538,048.91 ","415,330.11 ",0.00 ,0.00 ,"350,240.08 ","5,581,593.97 ","3,112,522.93 ","2,469,071.05 ","49,252,531.07 "
2016-07,"1,321,557.76 ","342,601.50 ","15,381.78 ","121,510.06 ","118,957.32 ","723,110.09 ","615,620.79 ","39,144,842.31 ","1,862,708.46 ","677,348.53 ","349,206.16 ","280,027.83 ","256,542.10 ","200,277.40 ","99,305.43 ","27,465,568.12 ","446,886.49 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,466,756.30 ","570,725.95 ","109,947.50 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,677,496.12 ","385,018.78 ","580,368.15 ","95,726.10 ","668,030.19 ","327,020.81 ",0.00 ,0.00 ,"354,567.27 ","1,132,317.16 ",0.00 ,0.00 ,"2,878,634.57 ","1,246,667.63 ",0.00 ,0.00 ,0.00 ,"4,098,179.78 ","917,702.91 ",0.00 ,"4,463,748.46 ","3,388,686.52 ",0.00 ,0.00 ,"1,625,283.05 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"9,816,568.73 ","9,324,686.57 ","3,606,360.96 ","5,226,664.78 ","247,587.42 ","107,537.35 ","384,346.80 ","618,407.69 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,072,539.52 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"36,807.57 ","464,242.43 ","23,394.01 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,612,112.16 ",0.00 ,"635,024.42 ","1,666,486.75 ","149,176.42 ","852,176.46 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,657.94 ","376,220.84 ","74,146.00 ","188,432.57 ","598,934.90 ","447,717.90 ",0.00 ,0.00 ,"442,332.74 ","6,723,245.86 ","3,806,598.32 ","2,916,646.53 ","55,233,560.73 "
2016-08,"1,327,212.48 ","348,778.60 ","16,765.01 ","146,916.58 ","135,779.26 ","678,979.04 ","564,296.35 ","37,263,362.87 ","1,939,181.93 ","716,398.51 ","386,426.05 ","277,533.62 ","258,850.75 ","197,738.37 ","102,233.63 ","27,742,590.64 ","489,672.93 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,486,582.35 ","561,740.08 ","116,899.03 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,574,879.47 ","335,645.54 ","569,738.80 ","109,324.66 ","672,480.18 ","311,319.44 ",0.00 ,0.00 ,"356,324.05 ","1,109,968.89 ",0.00 ,0.00 ,"2,947,051.07 ","1,306,659.35 ",0.00 ,0.00 ,0.00 ,"4,313,029.27 ","910,450.57 ",0.00 ,"4,473,323.08 ","3,405,921.15 ",0.00 ,0.00 ,"1,592,591.57 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"7,581,589.30 ","7,074,824.15 ","3,658,636.44 ","2,944,823.84 ","234,172.39 ","115,358.85 ","391,408.29 ","695,272.27 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,177,994.21 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"38,822.93 ","495,462.27 ","25,963.66 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,849,618.26 ",0.00 ,"753,495.49 ","1,896,070.04 ","169,666.23 ","983,179.82 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,402.71 ","395,620.62 ","70,000.69 ","197,053.39 ","517,943.99 ","348,463.21 ",0.00 ,0.00 ,"527,330.74 ","8,766,313.87 ","4,972,957.92 ","3,793,354.95 ","56,310,901.68 "
2016-09,"1,048,902.68 ","294,438.24 ","16,116.91 ","134,866.02 ","140,192.12 ","463,287.38 ","366,050.91 ","31,955,518.97 ","1,859,305.17 ","684,123.49 ","335,672.42 ","279,252.49 ","264,874.79 ","196,573.99 ","98,805.00 ","26,055,617.27 ","491,943.30 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,269,407.89 ","541,620.14 ","103,013.50 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,498,835.99 ","324,026.79 ","687,362.97 ","114,784.14 ","598,921.34 ","284,185.37 ",0.00 ,0.00 ,"325,774.97 ","1,047,624.41 ",0.00 ,0.00 ,"2,811,095.13 ","1,223,988.42 ",0.00 ,0.00 ,0.00 ,"4,156,547.44 ","1,033,099.74 ",0.00 ,"4,377,248.83 ","3,374,687.74 ",0.00 ,0.00 ,"1,447,181.96 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,040,593.52 ","3,564,444.03 ","3,254,439.44 ","-113,783.28 ","239,520.58 ","116,081.33 ","360,067.15 ","648,717.61 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,109,596.29 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"37,980.23 ","488,288.25 ","23,745.38 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,681,257.86 ",0.00 ,"671,648.54 ","1,634,307.97 ","150,892.25 ","836,798.98 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,821.13 ","379,947.71 ","61,877.84 ","197,354.81 ","513,879.25 ","363,843.95 ",0.00 ,0.00 ,"468,462.56 ","8,530,602.14 ","4,806,063.46 ","3,724,540.69 ","49,652,204.27 "
2016-10,"811,354.71 ","253,047.58 ","14,384.38 ","111,059.61 ","117,140.44 ","315,721.72 ","229,252.66 ","34,896,498.67 ","1,935,527.11 ","703,056.48 ","366,110.07 ","281,223.79 ","279,484.81 ","201,949.06 ","103,699.91 ","26,185,055.40 ","457,817.49 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,319,905.26 ","583,785.76 ","88,689.20 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,576,379.80 ","370,931.50 ","678,036.34 ","123,594.34 ","556,184.18 ","281,739.07 ",0.00 ,0.00 ,"336,584.84 ","1,012,690.67 ",0.00 ,0.00 ,"2,963,313.42 ","1,375,985.59 ",0.00 ,0.00 ,0.00 ,"4,293,085.21 ","1,037,050.24 ",0.00 ,"4,369,293.05 ","3,300,401.40 ",0.00 ,0.00 ,"1,452,320.91 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"6,775,918.16 ","6,309,331.25 ","3,287,217.24 ","2,551,774.70 ","278,132.34 ","111,687.77 ","354,898.16 ","575,999.02 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,028,712.45 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"33,645.89 ","473,199.52 ","19,148.47 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,337,148.71 ",0.00 ,"524,318.47 ","1,325,322.47 ","120,596.12 ","663,277.40 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,946.79 ","358,734.50 ","57,029.63 ","191,254.58 ","505,967.89 ","382,735.93 ",0.00 ,0.00 ,"360,419.24 ","6,325,823.90 ","3,526,683.09 ","2,799,141.81 ","48,898,938.00 "
2016-11,"764,984.87 ","239,302.54 ","14,506.15 ","110,455.18 ","97,579.42 ","303,139.59 ","217,419.90 ","37,053,495.83 ","2,074,697.14 ","770,552.10 ","393,320.97 ","296,055.47 ","292,617.39 ","215,922.95 ","106,228.26 ","27,476,535.68 ","488,437.57 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,453,611.32 ","608,592.33 ","94,091.38 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,705,540.44 ","385,809.35 ","658,070.59 ","120,842.81 ","576,845.66 ","295,834.94 ",0.00 ,0.00 ,"354,011.67 ","1,091,362.09 ",0.00 ,0.00 ,"3,002,618.45 ","1,347,692.48 ",0.00 ,0.00 ,0.00 ,"4,434,255.44 ","1,108,619.32 ",0.00 ,"4,482,520.15 ","3,383,637.51 ",0.00 ,0.00 ,"1,594,091.84 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"7,502,264.00 ","6,986,426.30 ","3,494,398.21 ","2,871,498.69 ","254,746.55 ","143,868.31 ","371,968.40 ","633,630.92 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,081,562.45 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"34,897.31 ","492,625.42 ","19,598.93 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,269,964.80 ",0.00 ,"497,077.00 ","1,336,152.23 ","116,766.04 ","679,292.09 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,103.21 ","380,968.07 ","59,563.98 ","207,457.48 ","552,903.60 ","434,454.22 ",0.00 ,0.00 ,"358,215.91 ","5,935,021.87 ","3,395,075.49 ","2,539,948.37 ","50,716,798.00 "
2016-12,"728,299.57 ","247,795.82 ","14,966.66 ","119,143.74 ","84,399.62 ","261,992.70 ","173,341.99 ","39,209,947.03 ","2,090,698.28 ","774,006.32 ","418,550.19 ","313,809.69 ","284,884.18 ","198,277.14 ","101,171.76 ","28,109,559.17 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,431,549.87 ","616,566.66 ","103,090.85 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,761,461.41 ","384,187.59 ","621,095.26 ","102,035.74 ","617,190.69 ","282,457.29 ",0.00 ,0.00 ,"351,636.52 ","1,112,936.33 ",0.00 ,0.00 ,"2,748,327.78 ","1,201,466.78 ",0.00 ,0.00 ,0.00 ,"4,639,810.15 ","1,168,619.54 ",0.00 ,"4,880,927.07 ","3,786,713.40 ",0.00 ,0.00 ,"1,587,286.95 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"8,469,609.21 ","3,827,313.46 ","3,935,527.55 ","241,233.81 ","155,531.18 ","384,546.19 ","685,122.88 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,106,035.22 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"38,538.05 ","482,939.70 ","20,609.53 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,301,869.64 ",0.00 ,"510,851.69 ",0.00 ,"126,997.99 ","760,149.33 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,737.59 ","420,936.66 ","64,291.49 ","229,766.21 ","642,000.90 ","511,771.86 ",0.00 ,0.00 ,"411,134.17 ","6,129,815.81 ","3,540,123.33 ","2,589,689.47 ","53,511,722.99 "
2017-01,"682,699.13 ","242,988.81 ","14,625.60 ","124,150.02 ","72,608.69 ","228,316.01 ","150,630.22 ","33,008,833.38 ","2,007,440.65 ","740,733.63 ","438,154.16 ","296,588.91 ","258,341.79 ","184,634.39 ","88,987.76 ","25,104,224.39 ","498,384.35 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,220,797.70 ","555,585.31 ","97,938.31 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,494,112.76 ","367,485.84 ","592,012.39 ","82,135.87 ","570,684.77 ","271,623.00 ",0.00 ,0.00 ,"327,803.81 ","1,019,214.41 ",0.00 ,0.00 ,"2,246,414.51 ","932,305.67 ",0.00 ,0.00 ,0.00 ,"4,020,271.19 ","1,000,515.03 ",0.00 ,"4,498,116.26 ","3,443,936.86 ",0.00 ,0.00 ,"1,361,315.82 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,897,170.32 ","5,352,416.26 ","3,446,233.94 ","1,233,999.18 ","271,069.26 ","162,054.99 ","382,696.08 ","695,762.47 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,150,332.54 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"41,081.01 ","511,858.14 ","22,118.65 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,452,505.41 ",0.00 ,"561,377.09 ","1,594,626.78 ","140,507.15 ","839,015.84 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,240.77 ","435,776.14 ","66,227.41 ","231,973.48 ","687,333.66 ","543,519.36 ",0.00 ,0.00 ,"463,035.33 ","7,003,739.94 ","4,111,060.53 ","2,892,679.41 ","48,673,943.04 "
2017-02,"653,381.70 ","225,132.08 ","13,086.13 ","129,087.86 ","75,303.56 ","210,775.06 ","141,184.90 ","29,059,535.72 ","1,817,982.02 ","713,789.38 ","431,515.38 ","277,638.37 ","213,175.32 ","117,007.36 ","64,859.22 ","21,894,442.71 ","401,584.32 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"902,853.25 ","518,621.30 ","70,187.35 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,492,581.37 ","394,137.24 ","569,914.01 ","59,965.94 ","590,649.66 ","242,513.35 ",0.00 ,0.00 ,"293,541.46 ","743,805.56 ",0.00 ,0.00 ,"1,500,624.42 ","564,027.62 ",0.00 ,0.00 ,0.00 ,"3,744,174.88 ","919,957.94 ",0.00 ,"4,303,983.71 ","3,404,019.21 ",0.00 ,0.00 ,"1,029,969.52 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,347,111.00 ","4,786,770.22 ","3,192,531.99 ","922,148.18 ","292,233.08 ","172,775.72 ","387,565.07 ","506,246.72 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,188,776.10 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"43,908.32 ","552,785.81 ","22,174.50 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,344,355.65 ",0.00 ,"580,265.78 ","1,533,672.97 ","139,820.35 ","792,621.27 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,776.96 ","442,652.98 ","65,533.94 ","241,378.35 ","494,933.17 ","358,380.34 ",0.00 ,0.00 ,"464,773.40 ","7,663,655.81 ","4,271,070.52 ","3,392,588.29 ","44,882,568.25 "
2017-03,"714,363.90 ","241,352.80 ","13,042.75 ","123,522.38 ","79,082.30 ","257,357.67 ","188,700.08 ","36,270,732.99 ","1,889,856.26 ","707,542.51 ","413,825.55 ","284,431.29 ","240,955.11 ","163,216.83 ","79,887.98 ","25,683,688.11 ","412,572.55 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,330,857.79 ","583,184.49 ","91,472.35 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,644,393.59 ","377,226.41 ","587,639.75 ","54,754.85 ","611,376.16 ","280,280.95 ",0.00 ,0.00 ,"329,711.24 ","1,061,979.17 ",0.00 ,0.00 ,"2,255,165.49 ","924,400.68 ",0.00 ,0.00 ,0.00 ,"3,993,022.82 ","868,671.34 ",0.00 ,"4,552,643.72 ","3,497,164.59 ",0.00 ,0.00 ,"1,459,272.52 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"8,697,188.61 ","8,161,614.67 ","3,466,848.75 ","3,991,169.04 ","253,098.75 ","153,986.36 ","381,586.58 ","577,135.85 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,077,540.51 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"40,517.83 ","500,099.54 ","20,716.09 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,316,771.22 ",0.00 ,"524,431.07 ","1,473,951.64 ","132,121.69 ","749,004.19 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,408.89 ","418,668.39 ","61,515.79 ","228,602.92 ","558,876.97 ","428,577.32 ",0.00 ,0.00 ,"425,329.21 ","7,128,491.93 ","4,094,115.26 ","3,034,375.65 ","51,387,778.79 "
2017-04,"854,043.14 ","255,884.77 ","13,842.08 ","121,805.66 ","84,678.24 ","377,835.40 ","309,727.49 ","34,199,839.66 ","2,004,279.25 ","729,138.76 ","379,605.18 ","323,722.83 ","273,592.40 ","204,154.68 ","94,068.39 ","27,169,968.70 ","417,805.81 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,420,402.02 ","616,845.57 ","94,285.17 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,691,206.56 ","381,395.10 ","624,215.67 ","67,659.12 ","612,204.51 ","285,188.63 ",0.00 ,0.00 ,"342,544.86 ","1,185,978.52 ",0.00 ,0.00 ,"2,969,614.88 ","1,307,771.12 ",0.00 ,0.00 ,0.00 ,"4,031,440.63 ","964,106.21 ",0.00 ,"4,655,893.27 ","3,640,008.84 ",0.00 ,0.00 ,"1,594,055.37 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,025,594.70 ","4,489,166.05 ","3,154,424.84 ","816,783.81 ","257,243.19 ","146,314.50 ","390,114.16 ","643,199.15 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,082,754.73 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"40,067.72 ","500,315.03 ","18,601.61 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,262,883.19 ",0.00 ,"484,963.49 ","1,348,860.89 ","118,749.21 ","690,674.56 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,074.44 ","398,812.18 ","65,088.29 ","211,832.82 ","572,256.33 ","453,362.68 ",0.00 ,0.00 ,"380,316.74 ","6,368,846.01 ","3,628,777.50 ","2,740,068.52 ","48,472,088.04 "
2017-05,"1,010,800.51 ","283,435.99 ","14,337.63 ","113,224.81 ","97,228.96 ","502,572.12 ","425,626.76 ","35,996,342.95 ","1,914,423.37 ","689,423.62 ","369,451.94 ","302,343.67 ","257,534.58 ","200,618.90 ","95,047.65 ","27,092,144.41 ","425,960.70 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,433,326.02 ","589,010.25 ","93,721.79 ",0.00 ,0.00 ,0.00 ,0.00 ,"3,644,228.98 ","371,880.52 ","619,882.21 ","81,440.45 ","583,594.94 ","299,846.28 ",0.00 ,0.00 ,"360,965.98 ","1,145,953.50 ",0.00 ,0.00 ,"2,931,027.16 ","1,310,156.37 ",0.00 ,0.00 ,0.00 ,"3,852,141.38 ","994,829.93 ",0.00 ,"4,767,623.35 ","3,748,158.68 ",0.00 ,0.00 ,"1,584,950.09 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"6,989,772.16 ","6,470,491.60 ","3,165,771.85 ","2,801,828.24 ","297,535.14 ","126,991.01 ","392,292.55 ","607,461.12 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,077,493.63 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"38,217.41 ","510,803.27 ","17,887.20 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,268,896.86 ",0.00 ,"470,032.96 ","1,306,099.77 ","113,888.01 ","668,937.16 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,629.74 ","372,931.41 ","64,008.39 ","196,615.07 ","511,517.00 ","399,305.25 ",0.00 ,0.00 ,"347,624.09 ","5,857,397.29 ","3,314,672.48 ","2,542,722.80 ","49,675,123.00 "
